codec.type,codec.name,clustering.type,workflow.overall_rate,p_min_errors
DNAFountain,high,LSH,0.07000000000000002,9.646550393579256e-06
DNAFountain,high,LSH,0.08,0.00018328445747800586
DNAFountain,high,LSH,0.09,0.0007524309306991819
DNAFountain,high,LSH,0.1,0.002450223799969131
DNAFountain,high,LSH,0.11,0.007267893184288154
DNAFountain,high,LSH,0.12000000000000001,0.011147118538185225
DNAFountain,high,LSH,0.13,0.01930886217055498
DNAFountain,high,LSH,0.14000000000000004,0.032978146634414875
DNAFountain,high,LSH,0.15000000000000002,0.04445264948084497
DNAFountain,high,Starcode,0.0,0.0
DNAFountain,high,Starcode,0.01,0.0
DNAFountain,high,Starcode,0.02,0.0
DNAFountain,high,Starcode,0.030000000000000002,0.0
DNAFountain,high,Starcode,0.04,0.0009839481401450842
DNAFountain,high,Starcode,0.05,0.009308921129803983
DNAFountain,high,Starcode,0.060000000000000005,0.02182049699027628
DNAFountain,high,Starcode,0.07000000000000002,0.029856073468127797
DNAFountain,high,Starcode,0.08,0.037496141379842564
DNAFountain,high,Starcode,0.09,0.044441657663219634
DNAFountain,high,Starcode,0.1,0.05103025158203427
DNAFountain,high,Starcode,0.11,0.058380922981941655
DNAFountain,high,Starcode,0.12000000000000001,0.06616568914956011
DNAFountain,high,Starcode,0.13,0.072358774502238
DNAFountain,high,Starcode,0.14000000000000004,0.0796129803982096
DNAFountain,high,Starcode,0.15000000000000002,0.08801512579101714
DNAFountain,low,BasicSet,0.0,0.0
DNAFountain,low,BasicSet,0.01,6.45944758804227e-06
DNAFountain,low,BasicSet,0.02,0.0015922538304524198
DNAFountain,low,BasicSet,0.030000000000000002,0.006139704932434179
DNAFountain,low,BasicSet,0.04,0.011423533059452757
DNAFountain,low,BasicSet,0.05,0.017249954783866882
DNAFountain,low,BasicSet,0.060000000000000005,0.023773996847789577
DNAFountain,low,BasicSet,0.07000000000000002,0.030540268196263858
DNAFountain,low,BasicSet,0.08,0.03693189158463168
DNAFountain,low,BasicSet,0.09,0.04391455442730538
DNAFountain,low,BasicSet,0.1,0.0507034338423378
DNAFountain,low,BasicSet,0.11,0.057812055912978326
DNAFountain,low,BasicSet,0.12000000000000001,0.06522750174405086
DNAFountain,low,BasicSet,0.13,0.07256543420406687
DNAFountain,low,BasicSet,0.14000000000000004,0.07986138025476061
DNAFountain,low,BasicSet,0.15000000000000002,0.08692478619228483
DNAFountain,low,CDHit,0.0,0.0001004172173417295
DNAFountain,low,CDHit,0.01,0.0001004172173417295
DNAFountain,low,CDHit,0.02,9.389245752175715e-05
DNAFountain,low,CDHit,0.030000000000000002,0.0001455519329296693
DNAFountain,low,CDHit,0.04,1.9387860614207424e-05
DNAFountain,low,CDHit,0.05,2.58631837579206e-05
DNAFountain,low,CDHit,0.060000000000000005,6.136475208640157e-05
DNAFountain,low,CDHit,0.07000000000000002,9.689171382063406e-06
DNAFountain,low,CDHit,0.08,5.167558070433816e-05
DNAFountain,low,CDHit,0.09,0.00016148618970105678
DNAFountain,low,CDHit,0.1,0.0006136475208640157
DNAFountain,low,CDHit,0.11,0.0021574554944061184
DNAFountain,low,CDHit,0.12000000000000001,0.005325814536340852
DNAFountain,low,CDHit,0.13,0.012066248094462962
DNAFountain,low,CDHit,0.14000000000000004,0.023971009999224867
DNAFountain,low,CDHit,0.15000000000000002,0.03946399503914425
DNAFountain,low,Clover,0.0,0.00718303536060422
DNAFountain,low,Clover,0.01,5.1751798374993537e-05
DNAFountain,low,Clover,0.02,3.229723794021135e-05
DNAFountain,low,Clover,0.030000000000000002,1.937834276412681e-05
DNAFountain,low,Clover,0.04,3.229723794021135e-06
DNAFountain,low,Clover,0.05,9.689171382063406e-06
DNAFountain,low,Clover,0.060000000000000005,5.167558070433816e-05
DNAFountain,low,Clover,0.07000000000000002,0.00020993204661137377
DNAFountain,low,Clover,0.08,0.00059749890189391
DNAFountain,low,Clover,0.09,0.001456605431103532
DNAFountain,low,Clover,0.1,0.003429966669250446
DNAFountain,low,Clover,0.11,0.006307650569723278
DNAFountain,low,Clover,0.12000000000000001,0.010658088520269747
DNAFountain,low,Clover,0.13,0.015373485259540605
DNAFountain,low,Clover,0.14000000000000004,0.022278634731157793
DNAFountain,low,Clover,0.15000000000000002,0.03077280830943338
DNAFountain,low,LSH,0.0,2.9081790921311136e-05
DNAFountain,low,LSH,0.01,1.291889517608454e-05
DNAFountain,low,LSH,0.02,0.0
DNAFountain,low,LSH,0.030000000000000002,0.0
DNAFountain,low,LSH,0.04,0.0
DNAFountain,low,LSH,0.05,0.0
DNAFountain,low,LSH,0.060000000000000005,0.0
DNAFountain,low,LSH,0.07000000000000002,3.229723794021135e-05
DNAFountain,low,LSH,0.08,0.00020347259902333154
DNAFountain,low,LSH,0.09,0.0008461876340335374
DNAFountain,low,LSH,0.1,0.002735576053535902
DNAFountain,low,LSH,0.11,0.007025526186346338
DNAFountain,low,LSH,0.12000000000000001,0.012557744212602513
DNAFountain,low,LSH,0.13,0.021538299107849865
DNAFountain,low,LSH,0.14000000000000004,0.03298601720127657
DNAFountain,low,LSH,0.15000000000000002,0.04606995371525179
DNAFountain,low,Starcode,0.0,0.0
DNAFountain,low,Starcode,0.01,0.0
DNAFountain,low,Starcode,0.02,0.0
DNAFountain,low,Starcode,0.030000000000000002,0.0
DNAFountain,low,Starcode,0.04,0.001149781670671524
DNAFountain,low,Starcode,0.05,0.010535359016096944
DNAFountain,low,Starcode,0.060000000000000005,0.022207580807689326
DNAFountain,low,Starcode,0.07000000000000002,0.030020282665426452
DNAFountain,low,Starcode,0.08,0.03711275611709687
DNAFountain,low,Starcode,0.09,0.04395331111283363
DNAFountain,low,Starcode,0.1,0.05100702787897579
DNAFountain,low,Starcode,0.11,0.05811887967341033
DNAFountain,low,Starcode,0.12000000000000001,0.06524042063922693
DNAFountain,low,Starcode,0.13,0.07233289409089734
DNAFountain,low,Starcode,0.14000000000000004,0.07951579980880034
DNAFountain,low,Starcode,0.15000000000000002,0.08684081337364029
DNAFountain,medium,BasicSet,0.0,0.0
DNAFountain,medium,BasicSet,0.01,0.0
DNAFountain,medium,BasicSet,0.02,0.0015513956123184673
DNAFountain,medium,BasicSet,0.030000000000000002,0.005800030899165723
DNAFountain,medium,BasicSet,0.04,0.011400504686373469
DNAFountain,medium,BasicSet,0.05,0.017734833659491196
DNAFountain,medium,BasicSet,0.060000000000000005,0.023850293542074363
DNAFountain,medium,BasicSet,0.07000000000000002,0.029991502729426307
DNAFountain,medium,BasicSet,0.08,0.03686656710268823
DNAFountain,medium,BasicSet,0.09,0.04400556184983005
DNAFountain,medium,BasicSet,0.1,0.0510415593778968
DNAFountain,medium,BasicSet,0.11,0.057923061077350915
DNAFountain,medium,BasicSet,0.12000000000000001,0.06520367700072098
DNAFountain,medium,BasicSet,0.13,0.07188562158821712
DNAFountain,medium,BasicSet,0.14000000000000004,0.07984859408795962
DNAFountain,medium,BasicSet,0.15000000000000002,0.08660778658976208
DNAFountain,medium,CDHit,0.0,4.5105417805041496e-05
DNAFountain,medium,CDHit,0.01,3.8661786690035565e-05
DNAFountain,medium,CDHit,0.02,2.5774524460023713e-05
DNAFountain,medium,CDHit,0.030000000000000002,2.5774524460023713e-05
DNAFountain,medium,CDHit,0.04,2.5774524460023713e-05
DNAFountain,medium,CDHit,0.05,0.0
DNAFountain,medium,CDHit,0.060000000000000005,0.0
DNAFountain,medium,CDHit,0.07000000000000002,6.4373261921928104e-06
DNAFountain,medium,CDHit,0.08,5.1498609537542483e-05
DNAFountain,medium,CDHit,0.09,0.00020599443815016993
DNAFountain,medium,CDHit,0.1,0.0006823565763724379
DNAFountain,medium,CDHit,0.11,0.0019826964671953856
DNAFountain,medium,CDHit,0.12000000000000001,0.005420228653826346
DNAFountain,medium,CDHit,0.13,0.012127922546091255
DNAFountain,medium,CDHit,0.14000000000000004,0.022994129158512722
DNAFountain,medium,CDHit,0.15000000000000002,0.038372901431661346
DNAFountain,medium,Clover,0.0,0.004098788638262322
DNAFountain,medium,Clover,0.01,1.2874652384385621e-05
DNAFountain,medium,Clover,0.02,0.00038699690402476777
DNAFountain,medium,Clover,0.030000000000000002,0.0
DNAFountain,medium,Clover,0.04,1.2874652384385621e-05
DNAFountain,medium,Clover,0.05,0.0
DNAFountain,medium,Clover,0.060000000000000005,5.7935935729735294e-05
DNAFountain,medium,Clover,0.07000000000000002,0.00014805850242043464
DNAFountain,medium,Clover,0.08,0.0005986713358739314
DNAFountain,medium,Clover,0.09,0.0013647131527448758
DNAFountain,medium,Clover,0.1,0.003154289834174477
DNAFountain,medium,Clover,0.11,0.005896590792048614
DNAFountain,medium,Clover,0.12000000000000001,0.010550777629004016
DNAFountain,medium,Clover,0.13,0.01582938510660212
DNAFountain,medium,Clover,0.14000000000000004,0.022170151405912043
DNAFountain,medium,Clover,0.15000000000000002,0.030145998558038935
DNAFountain,medium,LSH,0.0,0.0
DNAFountain,medium,LSH,0.01,0.0
DNAFountain,medium,LSH,0.02,0.0
DNAFountain,medium,LSH,0.030000000000000002,0.0
DNAFountain,medium,LSH,0.04,0.0
DNAFountain,medium,LSH,0.05,0.0
DNAFountain,medium,LSH,0.060000000000000005,0.0
DNAFountain,medium,LSH,0.07000000000000002,4.506128334534967e-05
DNAFountain,medium,LSH,0.08,0.00016093315480482026
DNAFountain,medium,LSH,0.09,0.0006887939025646307
DNAFountain,medium,LSH,0.1,0.0027127686994174957
DNAFountain,medium,LSH,0.11,0.006308314861590804
DNAFountain,medium,LSH,0.12000000000000001,0.012096143824908806
DNAFountain,medium,LSH,0.13,0.02082236842105263
DNAFountain,medium,LSH,0.14000000000000004,0.030493559848989563
DNAFountain,medium,LSH,0.15000000000000002,0.04227582846003899
DNAFountain,medium,Starcode,0.0,0.0
DNAFountain,medium,Starcode,0.01,0.0
DNAFountain,medium,Starcode,0.02,0.0
DNAFountain,medium,Starcode,0.030000000000000002,6.4373261921928104e-06
DNAFountain,medium,Starcode,0.04,0.0009076629930991863
DNAFountain,medium,Starcode,0.05,0.010203162014625606
DNAFountain,medium,Starcode,0.060000000000000005,0.022324647234524667
DNAFountain,medium,Starcode,0.07000000000000002,0.030055875991348232
DNAFountain,medium,Starcode,0.08,0.03739442785044804
DNAFountain,medium,Starcode,0.09,0.043934751261715935
DNAFountain,medium,Starcode,0.1,0.0510415593778968
DNAFountain,medium,Starcode,0.11,0.05800030899165722
DNAFountain,medium,Starcode,0.12000000000000001,0.06524873828406634
DNAFountain,medium,Starcode,0.13,0.07247785559789885
DNAFountain,medium,Starcode,0.14000000000000004,0.07974559686888454
DNAFountain,medium,Starcode,0.15000000000000002,0.08645329076114945
DNARS,high,BasicSet,0.0,0.0
DNARS,high,BasicSet,0.01,9.618344105878732e-06
DNARS,high,BasicSet,0.02,0.0013850415512465374
DNARS,high,BasicSet,0.030000000000000002,0.005376654355186212
DNARS,high,BasicSet,0.04,0.010570560172360726
DNARS,high,BasicSet,0.05,0.016351184979993844
DNARS,high,BasicSet,0.060000000000000005,0.02245883348722684
DNARS,high,BasicSet,0.07000000000000002,0.028970452446906738
DNARS,high,BasicSet,0.08,0.03686711295783318
